Wteam,Lteam,Wloc
Memphis Grizzlies,Los Angeles Lakers,V
Charlotte Hornets,Milwaukee Bucks,H
Detroit Pistons,Utah Jazz,H
Boston Celtics,Indiana Pacers,H
New York Knicks,San Antonio Spurs,H
Philadelphia 76ers,Houston Rockets,V
Portland Trail Blazers,Brooklyn Nets,H
Cleveland Cavaliers,Sacramento Kings,V
Washington Wizards,Oklahoma City Thunder,H
Phoenix Suns,Toronto Raptors,V
Chicago Bulls,Detroit Pistons,H
Memphis Grizzlies,Golden State Warriors,H
New Orleans Pelicans,Minnesota Timberwolves,H
Los Angeles Clippers,Denver Nuggets,H
Boston Celtics,Indiana Pacers,V
Charlotte Hornets,Philadelphia 76ers,V
Washington Wizards,Orlando Magic,H
Miami Heat,Atlanta Hawks,V
New York Knicks,Dallas Mavericks,H
Houston Rockets,San Antonio Spurs,V
Cleveland Cavaliers,Utah Jazz,V
Brooklyn Nets,Chicago Bulls,V
Sacramento Kings,Los Angeles Lakers,H
Milwaukee Bucks,Golden State Warriors,H
Memphis Grizzlies,Minnesota Timberwolves,H
New Orleans Pelicans,Los Angeles Clippers,H
Oklahoma City Thunder,Brooklyn Nets,V
Denver Nuggets,Portland Trail Blazers,H
Orlando Magic,Charlotte Hornets,V
Detroit Pistons,Toronto Raptors,H
Phoenix Suns,Indiana Pacers,V
Philadelphia 76ers,Boston Celtics,H
Golden State Warriors,Chicago Bulls,V
Miami Heat,Atlanta Hawks,H
Cleveland Cavaliers,San Antonio Spurs,V
Dallas Mavericks,Memphis Grizzlies,V
Sacramento Kings,Houston Rockets,H
Toronto Raptors,Milwaukee Bucks,V
Portland Trail Blazers,Washington Wizards,V
New York Knicks,Atlanta Hawks,V
Brooklyn Nets,New Orleans Pelicans,H
Philadelphia 76ers,Miami Heat,V
Cleveland Cavaliers,Oklahoma City Thunder,V
Boston Celtics,Chicago Bulls,H
San Antonio Spurs,Los Angeles Clippers,H
Denver Nuggets,Los Angeles Lakers,H
Dallas Mavericks,Orlando Magic,H
Phoenix Suns,Detroit Pistons,V
Houston Rockets,Sacramento Kings,V
Utah Jazz,Denver Nuggets,V
Minnesota Timberwolves,Golden State Warriors,H
Boston Celtics,New Orleans Pelicans,H
Charlotte Hornets,New York Knicks,V
Washington Wizards,Philadelphia 76ers,H
Cleveland Cavaliers,Brooklyn Nets,H
Los Angeles Clippers,Indiana Pacers,H
Memphis Grizzlies,Chicago Bulls,H
Atlanta Hawks,Milwaukee Bucks,H
Portland Trail Blazers,Orlando Magic,V
Miami Heat,Toronto Raptors,H
