Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Detroit Pistons,116,Miami Heat,96,Detroit Pistons
Dallas Mavericks,116,Denver Nuggets,115,Dallas Mavericks
Los Angeles Clippers,111,Orlando Magic,116,Orlando Magic
Charlotte Hornets,116,Brooklyn Nets,122,Brooklyn Nets
Atlanta Hawks,89,New York Knicks,113,New York Knicks
Los Angeles Lakers,113,Toronto Raptors,126,Toronto Raptors
Washington Wizards,111,Chicago Bulls,115,Chicago Bulls
Oklahoma City Thunder,102,Memphis Grizzlies,123,Memphis Grizzlies
Sacramento Kings,113,Milwaukee Bucks,126,Milwaukee Bucks
Indiana Pacers,115,Minnesota Timberwolves,121,Minnesota Timberwolves
Detroit Pistons,98,New Orleans Pelicans,104,New Orleans Pelicans
Golden State Warriors,123,Utah Jazz,124,Utah Jazz
Boston Celtics,125,Phoenix Suns,98,Boston Celtics
Los Angeles Clippers,110,Miami Heat,115,Miami Heat
Houston Rockets,109,San Antonio Spurs,118,San Antonio Spurs
Denver Nuggets,121,Portland Trail Blazers,120,Denver Nuggets
New York Knicks,121,Charlotte Hornets,102,New York Knicks
Washington Wizards,111,Indiana Pacers,121,Indiana Pacers
Toronto Raptors,109,Orlando Magic,113,Orlando Magic
Atlanta Hawks,116,Brooklyn Nets,120,Brooklyn Nets
Sacramento Kings,106,Cleveland Cavaliers,95,Sacramento Kings
Los Angeles Lakers,122,Philadelphia 76ers,133,Philadelphia 76ers
Detroit Pistons,103,Memphis Grizzlies,114,Memphis Grizzlies
Phoenix Suns,117,New Orleans Pelicans,128,New Orleans Pelicans
Minnesota Timberwolves,118,Utah Jazz,108,Minnesota Timberwolves
Milwaukee Bucks,106,Dallas Mavericks,105,Milwaukee Bucks
San Antonio Spurs,115,Miami Heat,111,San Antonio Spurs
Brooklyn Nets,136,Indiana Pacers,133,Brooklyn Nets
Los Angeles Clippers,114,Washington Wizards,107,Los Angeles Clippers
Oklahoma City Thunder,102,Cleveland Cavaliers,110,Cleveland Cavaliers
Dallas Mavericks,115,Chicago Bulls,144,Chicago Bulls
Boston Celtics,107,Golden State Warriors,123,Golden State Warriors
Utah Jazz,110,Denver Nuggets,115,Denver Nuggets
Minnesota Timberwolves,118,Portland Trail Blazers,124,Portland Trail Blazers
Phoenix Suns,124,New Orleans Pelicans,129,New Orleans Pelicans
Los Angeles Lakers,124,Detroit Pistons,117,Los Angeles Lakers
Sacramento Kings,99,New York Knicks,112,New York Knicks
Toronto Raptors,99,Orlando Magic,111,Orlando Magic
